# b'S_22p5_45_M'
# q I errors
2.949771650894465747e-02 6.406710147857666016e-01 1.588438171893358231e-03
2.961008874405437336e-02 6.376491189002990723e-01 1.580958720296621323e-03
2.972246097916408578e-02 6.349322795867919922e-01 1.572629436850547791e-03
2.983483321427380167e-02 6.304523348808288574e-01 1.567819737829267979e-03
2.994720544938351409e-02 6.258090734481811523e-01 1.557944924570620060e-03
3.005957768449322998e-02 6.229592561721801758e-01 1.548268017359077930e-03
3.017194991960294587e-02 6.188275814056396484e-01 1.544294413179159164e-03
3.028432215471266176e-02 6.130188107490539551e-01 1.533957663923501968e-03
3.039669438982237418e-02 6.109077334403991699e-01 1.526046660728752613e-03
3.050906662493209007e-02 6.052652597427368164e-01 1.518480014055967331e-03
3.062143886004180249e-02 6.042855978012084961e-01 1.514898031018674374e-03
3.073381109515151838e-02 5.978152751922607422e-01 1.501031918451189995e-03
3.084618333026123427e-02 5.926634073257446289e-01 1.494382042437791824e-03
3.095855556537095016e-02 5.920153856277465820e-01 1.492342445999383926e-03
3.107092780048066258e-02 5.880962014198303223e-01 1.479905331507325172e-03
3.118330003559037847e-02 5.840622782707214355e-01 1.475848956033587456e-03
3.129567227070009783e-02 5.823267698287963867e-01 1.471508061513304710e-03
3.140804450580980678e-02 5.785828828811645508e-01 1.460875151678919792e-03
3.152041674091951573e-02 5.722963809967041016e-01 1.452538068406283855e-03
3.163278897602923856e-02 5.687887668609619141e-01 1.446418347768485546e-03
3.174516121113894751e-02 5.694947242736816406e-01 1.442714827135205269e-03
3.185753344624867034e-02 5.672670006752014160e-01 1.439267769455909729e-03
3.196990568135837929e-02 5.626989603042602539e-01 1.456743804737925529e-03
3.208227791646809518e-02 5.605599284172058105e-01 1.471346942707896233e-03
3.219465015157781107e-02 5.551088452339172363e-01 1.474177697673439980e-03
3.230702238668752002e-02 5.488057136535644531e-01 1.469992217607796192e-03
3.241939462179724285e-02 5.452588796615600586e-01 1.466190791688859463e-03
3.253176685690695180e-02 5.432421565055847168e-01 1.465159468352794647e-03
3.264413909201667463e-02 5.434121489524841309e-01 1.469104434363543987e-03
3.275651132712638358e-02 5.354158878326416016e-01 1.457355567254126072e-03
3.286888356223609253e-02 5.348988771438598633e-01 1.458194339647889137e-03
3.298125579734581536e-02 5.316767096519470215e-01 1.456483267247676849e-03
3.309362803245552431e-02 5.296939015388488770e-01 1.452817698009312153e-03
3.320600026756524714e-02 5.237899422645568848e-01 1.445258269086480141e-03
3.331837250267495609e-02 5.234329104423522949e-01 1.447460497729480267e-03
3.343074473778467198e-02 5.203397274017333984e-01 1.441274187527596951e-03
3.354311697289438787e-02 5.177276730537414551e-01 1.437118626199662685e-03
3.365548920800409682e-02 5.131153464317321777e-01 1.433997647836804390e-03
3.376786144311381965e-02 5.133655071258544922e-01 1.416670973412692547e-03
3.388023367822352860e-02 5.107929706573486328e-01 1.384250936098396778e-03
3.399260591333325143e-02 5.068497061729431152e-01 1.369654666632413864e-03
3.410497814844296038e-02 5.030793547630310059e-01 1.357305445708334446e-03
3.421735038355266934e-02 5.017109513282775879e-01 1.350267557427287102e-03
3.432972261866239216e-02 4.961383938789367676e-01 1.341130118817090988e-03
3.444209485377210112e-02 4.935410320758819580e-01 1.330828061327338219e-03
3.455446708888182394e-02 4.902864992618560791e-01 1.322326133958995342e-03
3.466683932399153290e-02 4.882628321647644043e-01 1.318277325481176376e-03
3.477921155910124185e-02 4.821663796901702881e-01 1.305785495787858963e-03
3.489158379421096468e-02 4.800821244716644287e-01 1.298904186114668846e-03
3.500395602932067363e-02 4.820372462272644043e-01 1.299477997235953808e-03
3.511632826443039646e-02 4.786691665649414062e-01 1.291512860916554928e-03
3.522870049954010541e-02 4.732899665832519531e-01 1.280205440707504749e-03
3.534107273464982130e-02 4.717274904251098633e-01 1.277321018278598785e-03
3.545344496975953719e-02 4.705603122711181641e-01 1.272457651793956757e-03
3.556581720486924614e-02 4.664622545242309570e-01 1.262934063561260700e-03
3.567818943997896897e-02 4.644545614719390869e-01 1.257789903320372105e-03
3.579056167508867792e-02 4.642715156078338623e-01 1.258434727787971497e-03
3.590293391019840075e-02 4.596389830112457275e-01 1.247003441676497459e-03
3.601530614530810970e-02 4.562639296054840088e-01 1.241572899743914604e-03
3.612767838041781865e-02 4.526097476482391357e-01 1.234396593645215034e-03
3.624005061552754148e-02 4.490132927894592285e-01 1.226258696988224983e-03
3.635242285063725043e-02 4.488080739974975586e-01 1.231728121638298035e-03
3.646479508574697326e-02 4.470959603786468506e-01 1.252079033292829990e-03
3.657716732085668221e-02 4.449517428874969482e-01 1.257312949746847153e-03
3.668953955596639810e-02 4.426900148391723633e-01 1.257872441783547401e-03
3.680191179107611399e-02 4.401654601097106934e-01 1.258167671039700508e-03
3.691428402618582294e-02 4.374403953552246094e-01 1.255243434570729733e-03
3.702665626129554577e-02 4.326880872249603271e-01 1.250300440005958080e-03
3.713902849640525472e-02 4.338404536247253418e-01 1.253090100362896919e-03
3.725140073151497755e-02 4.302816689014434814e-01 1.247773412615060806e-03
3.736377296662468650e-02 4.293208122253417969e-01 1.249265158548951149e-03
3.747614520173439545e-02 4.243752956390380859e-01 1.242320402525365353e-03
3.758851743684411828e-02 4.236176311969757080e-01 1.239683362655341625e-03
3.770088967195382723e-02 4.218856096267700195e-01 1.239052158780395985e-03
3.781326190706355006e-02 4.178649187088012695e-01 1.232891809195280075e-03
3.792563414217325901e-02 4.155026078224182129e-01 1.229588291607797146e-03
3.803800637728297490e-02 4.140897095203399658e-01 1.229184679687023163e-03
3.815037861239269079e-02 4.133162796497344971e-01 1.226120046339929104e-03
3.826275084750239974e-02 4.104810357093811035e-01 1.220921054482460022e-03
3.837512308261212257e-02 4.082457125186920166e-01 1.220721635036170483e-03
3.848749531772183152e-02 4.055322408676147461e-01 1.216062344610691071e-03
3.859986755283155435e-02 4.036062955856323242e-01 1.211380935274064541e-03
3.871223978794126330e-02 3.995953500270843506e-01 1.207694760523736477e-03
3.882461202305097225e-02 3.976455926895141602e-01 1.203748048283159733e-03
3.893698425816069508e-02 3.942922651767730713e-01 1.196196652017533779e-03
3.904935649327040403e-02 3.938918113708496094e-01 1.197384670376777649e-03
3.916172872838012686e-02 3.933984339237213135e-01 1.195005257613956928e-03
3.927410096348983581e-02 3.908109366893768311e-01 1.190467854030430317e-03
3.938647319859955170e-02 3.878744840621948242e-01 1.188293099403381348e-03
3.949884543370926759e-02 3.864988386631011963e-01 1.186019740998744965e-03
3.961121766881897654e-02 3.849710822105407715e-01 1.181130064651370049e-03
3.972358990392869937e-02 3.800794780254364014e-01 1.174569712020456791e-03
3.983596213903840833e-02 3.802695870399475098e-01 1.174612902104854584e-03
3.994833437414813115e-02 3.791849315166473389e-01 1.172380987554788589e-03
4.006070660925784011e-02 3.746205866336822510e-01 1.165710971690714359e-03
4.017307884436754906e-02 3.760305345058441162e-01 1.167076290585100651e-03
4.028545107947727189e-02 3.739067912101745605e-01 1.160711864940822124e-03
4.039782331458698084e-02 3.696445524692535400e-01 1.156070036813616753e-03
4.051019554969670367e-02 3.686712682247161865e-01 1.155087957158684731e-03
