# b'S_10_45_M'
# q I errors
2.848636639295722486e-02 6.857287287712097168e-01 1.515335636213421822e-03
2.859873862806693728e-02 6.790651082992553711e-01 1.504105050116777420e-03
2.871111086317665317e-02 6.740098595619201660e-01 1.493654795922338963e-03
2.882348309828636906e-02 6.737932562828063965e-01 1.493559684604406357e-03
2.893585533339608495e-02 6.676073074340820312e-01 1.482198014855384827e-03
2.904822756850579737e-02 6.603409647941589355e-01 1.470387447625398636e-03
2.916059980361551326e-02 6.560810208320617676e-01 1.465948764234781265e-03
2.927297203872522569e-02 6.526911258697509766e-01 1.458684331737458706e-03
2.938534427383494158e-02 6.504663228988647461e-01 1.451716525480151176e-03
2.949771650894465747e-02 6.459526419639587402e-01 1.446489477530121803e-03
2.961008874405437336e-02 6.414955854415893555e-01 1.437988365069031715e-03
2.972246097916408578e-02 6.366403102874755859e-01 1.427328097634017467e-03
2.983483321427380167e-02 6.303948760032653809e-01 1.421458320692181587e-03
2.994720544938351409e-02 6.265972256660461426e-01 1.414090627804398537e-03
3.005957768449322998e-02 6.228913068771362305e-01 1.404611277393996716e-03
3.017194991960294587e-02 6.210036277770996094e-01 1.402652007527649403e-03
3.028432215471266176e-02 6.161805987358093262e-01 1.393820508383214474e-03
3.039669438982237418e-02 6.120720505714416504e-01 1.385607174597680569e-03
3.050906662493209007e-02 6.071423292160034180e-01 1.379321678541600704e-03
3.062143886004180249e-02 6.033356785774230957e-01 1.372430124320089817e-03
3.073381109515151838e-02 6.018665432929992676e-01 1.367068616673350334e-03
3.084618333026123427e-02 5.974392294883728027e-01 1.361398724839091301e-03
3.095855556537095016e-02 5.935657024383544922e-01 1.355105545371770859e-03
3.107092780048066258e-02 5.898802876472473145e-01 1.344516640529036522e-03
3.118330003559037847e-02 5.874145030975341797e-01 1.342333387583494186e-03
3.129567227070009783e-02 5.822287201881408691e-01 1.335390028543770313e-03
3.140804450580980678e-02 5.788854956626892090e-01 1.326015451923012733e-03
3.152041674091951573e-02 5.769000053405761719e-01 1.323626027442514896e-03
3.163278897602923856e-02 5.742596983909606934e-01 1.318245893344283104e-03
3.174516121113894751e-02 5.699767470359802246e-01 1.309249666519463062e-03
3.185753344624867034e-02 5.668913125991821289e-01 1.305195852182805538e-03
3.196990568135837929e-02 5.641838908195495605e-01 1.323824981227517128e-03
3.208227791646809518e-02 5.609678030014038086e-01 1.334698987193405628e-03
3.219465015157781107e-02 5.556728839874267578e-01 1.337200053967535496e-03
3.230702238668752002e-02 5.530975461006164551e-01 1.338828471489250660e-03
3.241939462179724285e-02 5.477676987648010254e-01 1.331948908045887947e-03
3.253176685690695180e-02 5.460146665573120117e-01 1.332298619672656059e-03
3.264413909201667463e-02 5.428503751754760742e-01 1.331808045506477356e-03
3.275651132712638358e-02 5.386444926261901855e-01 1.326067838817834854e-03
3.286888356223609253e-02 5.374515056610107422e-01 1.326578552834689617e-03
3.298125579734581536e-02 5.328773856163024902e-01 1.322188181802630424e-03
3.309362803245552431e-02 5.312141180038452148e-01 1.319551491178572178e-03
3.320600026756524714e-02 5.263786315917968750e-01 1.313342479988932610e-03
3.331837250267495609e-02 5.247183442115783691e-01 1.314051100052893162e-03
3.343074473778467198e-02 5.221294164657592773e-01 1.309900777414441109e-03
3.354311697289438787e-02 5.168613195419311523e-01 1.302136457525193691e-03
3.365548920800409682e-02 5.154644846916198730e-01 1.303690485656261444e-03
3.376786144311381965e-02 5.143420100212097168e-01 1.285451231524348259e-03
3.388023367822352860e-02 5.143045783042907715e-01 1.260365475900471210e-03
3.399260591333325143e-02 5.086352229118347168e-01 1.244812039658427238e-03
3.410497814844296038e-02 5.045844316482543945e-01 1.233143615536391735e-03
3.421735038355266934e-02 5.015795826911926270e-01 1.223483937792479992e-03
3.432972261866239216e-02 4.970830082893371582e-01 1.216872478835284710e-03
3.444209485377210112e-02 4.945645630359649658e-01 1.207945751957595348e-03
3.455446708888182394e-02 4.913455843925476074e-01 1.200862345285713673e-03
